scope,fold,threshold,topk,detections_kept,true_positive_detections,false_positives,total_scans,false_positives_per_scan,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage
fold_9,9,0.15,2,176,59,117,88,1.3295454545454546,59,105,0.5619047619047619,50,59,0.847457627118644
pooled,,0.15,2,1776,662,1114,888,1.2545045045045045,662,1186,0.5581787521079258,514,601,0.8552412645590682
fold_0,0,0.15,3,267,85,182,89,2.044943820224719,85,112,0.7589285714285714,62,67,0.9253731343283582
fold_1,1,0.15,3,267,88,179,89,2.0112359550561796,88,128,0.6875,54,61,0.8852459016393442
fold_2,2,0.15,3,267,83,184,89,2.067415730337079,83,128,0.6484375,52,56,0.9285714285714286
fold_3,3,0.15,3,267,87,180,89,2.0224719101123596,87,119,0.7310924369747899,63,65,0.9692307692307692
fold_4,4,0.15,3,267,85,182,89,2.044943820224719,85,128,0.6640625,58,62,0.9354838709677419
fold_5,5,0.15,3,267,70,197,89,2.2134831460674156,70,108,0.6481481481481481,47,54,0.8703703703703703
fold_6,6,0.15,3,267,92,175,89,1.9662921348314606,92,129,0.7131782945736435,60,63,0.9523809523809523
fold_7,7,0.15,3,267,46,221,89,2.4831460674157304,46,111,0.4144144144144144,36,54,0.6666666666666666
fold_8,8,0.15,3,264,68,196,88,2.227272727272727,68,118,0.576271186440678,51,60,0.85
fold_9,9,0.15,3,264,69,195,88,2.215909090909091,69,105,0.6571428571428571,54,59,0.9152542372881356
pooled,,0.15,3,2664,773,1891,888,2.1295045045045047,773,1186,0.6517706576728499,537,601,0.8935108153078203
fold_0,0,0.15,4,356,90,266,89,2.9887640449438204,90,112,0.8035714285714286,63,67,0.9402985074626866
fold_1,1,0.15,4,356,98,258,89,2.898876404494382,98,128,0.765625,55,61,0.9016393442622951
fold_2,2,0.15,4,356,93,263,89,2.955056179775281,93,128,0.7265625,54,56,0.9642857142857143
fold_3,3,0.15,4,356,97,259,89,2.9101123595505616,97,119,0.8151260504201681,64,65,0.9846153846153847
fold_4,4,0.15,4,356,97,259,89,2.9101123595505616,97,128,0.7578125,62,62,1.0
fold_5,5,0.15,4,356,76,280,89,3.146067415730337,76,108,0.7037037037037037,49,54,0.9074074074074074
fold_6,6,0.15,4,356,101,255,89,2.865168539325843,101,129,0.7829457364341085,62,63,0.9841269841269841
fold_7,7,0.15,4,356,52,304,89,3.4157303370786516,52,111,0.46846846846846846,38,54,0.7037037037037037
fold_8,8,0.15,4,352,72,280,88,3.1818181818181817,72,118,0.6101694915254238,54,60,0.9
fold_9,9,0.15,4,352,74,278,88,3.159090909090909,74,105,0.7047619047619048,54,59,0.9152542372881356
pooled,,0.15,4,3552,850,2702,888,3.0427927927927927,850,1186,0.7166947723440135,555,601,0.9234608985024958
fold_0,0,0.15,5,445,93,352,89,3.955056179775281,93,112,0.8303571428571429,64,67,0.9552238805970149
fold_1,1,0.15,5,445,105,340,89,3.8202247191011236,105,128,0.8203125,55,61,0.9016393442622951
fold_2,2,0.15,5,445,100,345,89,3.8764044943820224,100,128,0.78125,55,56,0.9821428571428571
fold_3,3,0.15,5,445,101,344,89,3.865168539325843,101,119,0.8487394957983193,64,65,0.9846153846153847
fold_4,4,0.15,5,445,102,343,89,3.853932584269663,102,128,0.796875,62,62,1.0
fold_5,5,0.15,5,445,83,362,89,4.067415730337078,83,108,0.7685185185185185,49,54,0.9074074074074074
fold_6,6,0.15,5,445,104,341,89,3.831460674157303,104,129,0.8062015503875969,62,63,0.9841269841269841
fold_7,7,0.15,5,445,57,388,89,4.359550561797753,57,111,0.5135135135135135,39,54,0.7222222222222222
fold_8,8,0.15,5,440,75,365,88,4.1477272727272725,75,118,0.635593220338983,54,60,0.9
fold_9,9,0.15,5,440,83,357,88,4.056818181818182,83,105,0.7904761904761904,55,59,0.9322033898305084
pooled,,0.15,5,4440,903,3537,888,3.983108108108108,903,1186,0.7613827993254637,559,601,0.930116472545757
fold_0,0,0.15,6,534,95,439,89,4.932584269662922,95,112,0.8482142857142857,65,67,0.9701492537313433
fold_1,1,0.15,6,534,110,424,89,4.764044943820225,110,128,0.859375,55,61,0.9016393442622951
fold_2,2,0.15,6,534,101,433,89,4.865168539325842,101,128,0.7890625,55,56,0.9821428571428571
