scope,fold,threshold,topk,detections_kept,true_positive_detections,false_positives,total_scans,false_positives_per_scan,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage
pooled,,0.25,6,5328,933,4395,888,4.949324324324325,933,1186,0.7866779089376054,563,601,0.9367720465890182
pooled,,0.25,7,6216,958,5258,888,5.921171171171171,958,1186,0.8077571669477235,568,601,0.9450915141430949
pooled,,0.25,8,7104,979,6125,888,6.8975225225225225,979,1186,0.8254637436762225,568,601,0.9450915141430949
pooled,,0.25,9,7992,991,7001,888,7.884009009009009,991,1186,0.8355817875210793,570,601,0.9484193011647255
pooled,,0.25,10,8880,1005,7875,888,8.868243243243244,1005,1186,0.8473861720067454,571,601,0.9500831946755408
pooled,,0.3,1,888,463,425,888,0.4786036036036036,463,1186,0.39038785834738615,463,601,0.7703826955074875
pooled,,0.3,2,1769,662,1107,888,1.2466216216216217,662,1186,0.5581787521079258,514,601,0.8552412645590682
pooled,,0.3,3,2648,773,1875,888,2.1114864864864864,773,1186,0.6517706576728499,537,601,0.8935108153078203
pooled,,0.3,4,3518,850,2668,888,3.0045045045045047,850,1186,0.7166947723440135,555,601,0.9234608985024958
pooled,,0.3,5,4379,903,3476,888,3.9144144144144146,903,1186,0.7613827993254637,559,601,0.930116472545757
pooled,,0.3,6,5229,933,4296,888,4.837837837837838,933,1186,0.7866779089376054,563,601,0.9367720465890182
pooled,,0.3,7,6072,957,5115,888,5.760135135135135,957,1186,0.8069139966273187,568,601,0.9450915141430949
pooled,,0.3,8,6902,977,5925,888,6.672297297297297,977,1186,0.8237774030354131,568,601,0.9450915141430949
pooled,,0.3,9,7723,989,6734,888,7.583333333333333,989,1186,0.8338954468802698,570,601,0.9484193011647255
pooled,,0.3,10,8527,1003,7524,888,8.472972972972974,1003,1186,0.845699831365936,571,601,0.9500831946755408
pooled,,0.35,1,860,461,399,888,0.44932432432432434,461,1186,0.38870151770657674,461,601,0.7670549084858569
pooled,,0.35,2,1681,658,1023,888,1.152027027027027,658,1186,0.554806070826307,511,601,0.8502495840266223
pooled,,0.35,3,2458,766,1692,888,1.9054054054054055,766,1186,0.6458684654300169,532,601,0.8851913477537438
pooled,,0.35,4,3198,839,2359,888,2.6565315315315314,839,1186,0.7074198988195616,547,601,0.9101497504159733
pooled,,0.35,5,3893,890,3003,888,3.3817567567567566,890,1186,0.7504215851602024,550,601,0.9151414309484193
pooled,,0.35,6,4557,914,3643,888,4.1024774774774775,914,1186,0.7706576728499157,552,601,0.9184692179700499
pooled,,0.35,7,5176,934,4242,888,4.777027027027027,934,1186,0.7875210792580101,555,601,0.9234608985024958
pooled,,0.35,8,5753,953,4800,888,5.405405405405405,953,1186,0.8035413153456998,555,601,0.9234608985024958
pooled,,0.35,9,6295,963,5332,888,6.004504504504505,963,1186,0.811973018549747,556,601,0.9251247920133111
pooled,,0.35,10,6797,977,5820,888,6.554054054054054,977,1186,0.8237774030354131,557,601,0.9267886855241264
pooled,,0.4,1,792,456,336,888,0.3783783783783784,456,1186,0.3844856661045531,456,601,0.7587354409317804
pooled,,0.4,2,1496,642,854,888,0.9617117117117117,642,1186,0.5413153456998314,499,601,0.8302828618968386
pooled,,0.4,3,2095,746,1349,888,1.5191441441441442,746,1186,0.6290050590219224,518,601,0.8618968386023295
pooled,,0.4,4,2607,808,1799,888,2.025900900900901,808,1186,0.6812816188870152,530,601,0.8818635607321131
pooled,,0.4,5,3033,853,2180,888,2.454954954954955,853,1186,0.7192242833052277,533,601,0.8868552412645591
pooled,,0.4,6,3390,874,2516,888,2.8333333333333335,874,1186,0.7369308600337268,535,601,0.8901830282861897
pooled,,0.4,7,3680,893,2787,888,3.1385135135135136,893,1186,0.7529510961214165,537,601,0.8935108153078203
pooled,,0.4,8,3926,908,3018,888,3.3986486486486487,908,1186,0.7655986509274874,537,601,0.8935108153078203
pooled,,0.4,9,4124,915,3209,888,3.6137387387387387,915,1186,0.7715008431703204,538,601,0.8951747088186356
pooled,,0.4,10,4278,925,3353,888,3.775900900900901,925,1186,0.7799325463743676,539,601,0.8968386023294509
pooled,,0.45,1,727,442,285,888,0.32094594594594594,442,1186,0.37268128161888703,442,601,0.7354409317803661
pooled,,0.45,2,1280,618,662,888,0.7454954954954955,618,1186,0.521079258010118,480,601,0.7986688851913477
pooled,,0.45,3,1676,715,961,888,1.0822072072072073,715,1186,0.602866779089376,497,601,0.826955074875208
pooled,,0.45,4,1970,772,1198,888,1.3490990990990992,772,1186,0.6509274873524452,505,601,0.8402662229617305
pooled,,0.45,5,2188,808,1380,888,1.554054054054054,808,1186,0.6812816188870152,507,601,0.8435940099833611
pooled,,0.45,6,2351,825,1526,888,1.7184684684684686,825,1186,0.6956155143338955,507,601,0.8435940099833611
pooled,,0.45,7,2466,841,1625,888,1.829954954954955,841,1186,0.709106239460371,509,601,0.8469217970049917
pooled,,0.45,8,2542,854,1688,888,1.9009009009009008,854,1186,0.7200674536256324,509,601,0.8469217970049917
pooled,,0.45,9,2596,860,1736,888,1.954954954954955,860,1186,0.7251264755480608,510,601,0.848585690515807
pooled,,0.45,10,2633,867,1766,888,1.9887387387387387,867,1186,0.7310286677908938,510,601,0.848585690515807
pooled,,0.5,1,630,414,216,888,0.24324324324324326,414,1186,0.3490725126475548,414,601,0.6888519134775375
pooled,,0.5,2,1038,575,463,888,0.5213963963963963,575,1186,0.484822934232715,443,601,0.7371048252911814
pooled,,0.5,3,1305,654,651,888,0.7331081081081081,654,1186,0.551433389544688,453,601,0.7537437603993344
pooled,,0.5,4,1461,696,765,888,0.8614864864864865,696,1186,0.5868465430016864,456,601,0.7587354409317804
pooled,,0.5,5,1559,722,837,888,0.9425675675675675,722,1186,0.6087689713322091,457,601,0.7603993344425957
pooled,,0.5,6,1620,733,887,888,0.9988738738738738,733,1186,0.6180438448566611,457,601,0.7603993344425957
pooled,,0.5,7,1660,745,915,888,1.0304054054054055,745,1186,0.6281618887015177,459,601,0.7637271214642263
pooled,,0.5,8,1684,749,935,888,1.052927927927928,749,1186,0.6315345699831366,459,601,0.7637271214642263
pooled,,0.5,9,1699,751,948,888,1.0675675675675675,751,1186,0.633220910623946,459,601,0.7637271214642263
pooled,,0.5,10,1710,756,954,888,1.0743243243243243,756,1186,0.6374367622259697,459,601,0.7637271214642263
