threshold,topk,detections_kept,covered_nodules,total_nodules,nodule_coverage,covered_positive_scans,positive_scans,positive_scan_coverage,false_positives,total_scans,false_positives_per_scan
0.8,6,438,146,1186,0.12310286677908938,118,601,0.19633943427620631,292,888,0.32882882882882886
0.8,7,448,148,1186,0.12478920741989882,119,601,0.19800332778702162,300,888,0.33783783783783783
0.8,8,453,148,1186,0.12478920741989882,119,601,0.19800332778702162,305,888,0.34346846846846846
0.8,9,456,149,1186,0.12563237774030353,120,601,0.19966722129783693,307,888,0.34572072072072074
0.8,10,456,149,1186,0.12563237774030353,120,601,0.19966722129783693,307,888,0.34572072072072074
0.9,1,100,22,1186,0.01854974704890388,22,601,0.036605657237936774,78,888,0.08783783783783784
0.9,2,162,22,1186,0.01854974704890388,22,601,0.036605657237936774,140,888,0.15765765765765766
0.9,3,203,22,1186,0.01854974704890388,22,601,0.036605657237936774,181,888,0.20382882882882883
0.9,4,226,22,1186,0.01854974704890388,22,601,0.036605657237936774,204,888,0.22972972972972974
0.9,5,238,23,1186,0.0193929173693086,23,601,0.03826955074875208,215,888,0.24211711711711711
0.9,6,244,23,1186,0.0193929173693086,23,601,0.03826955074875208,221,888,0.24887387387387389
0.9,7,246,23,1186,0.0193929173693086,23,601,0.03826955074875208,223,888,0.2511261261261261
0.9,8,248,23,1186,0.0193929173693086,23,601,0.03826955074875208,225,888,0.2533783783783784
0.9,9,248,23,1186,0.0193929173693086,23,601,0.03826955074875208,225,888,0.2533783783783784
0.9,10,248,23,1186,0.0193929173693086,23,601,0.03826955074875208,225,888,0.2533783783783784
1.0,1,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,2,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,3,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,4,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,5,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,6,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,7,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,8,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,9,0,0,1186,0.0,0,601,0.0,0,888,0.0
1.0,10,0,0,1186,0.0,0,601,0.0,0,888,0.0
